,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
49,onehot_number_7=0.3217665615141955,0,,,,,,,
72,onehot_number_7=0.7160883280757101,0,,,,,,,
71,onehot_number_7=0.9968454258675079,0,,,,,,,
70,onehot_number_7=0.7981072555205051,0,,,,,,,
69,onehot_number_7=0.4605678233438487,0,,,,,,,
68,onehot_number_7=0.3470031545741328,0,,,,,,,
67,onehot_number_7=0.4321766561514197,0,,,,,,,
66,onehot_number_7=0.6372239747634073,0,,,,,,,
65,onehot_number_7=0.7003154574132493,0,,,,,,,
64,onehot_number_7=0.6340694006309152,0,,,,,,,
63,onehot_number_7=0.4290220820189277,0,,,,,,,
62,onehot_number_7=0.6309148264984227,0,,,,,,,
61,onehot_number_7=0.8927444794952681,0,,,,,,,
60,onehot_number_7=0.2649842271293376,0,,,,,,,
59,onehot_number_7=0.8611987381703471,0,,,,,,,
58,onehot_number_7=0.9747634069400628,0,,,,,,,
57,onehot_number_7=0.3186119873817035,0,,,,,,,
56,onehot_number_7=0.3722397476340697,0,,,,,,,
55,onehot_number_7=0.7223974763406943,0,,,,,,,
54,onehot_number_7=0.9053627760252368,0,,,,,,,
53,onehot_number_7=0.6403785488958993,0,,,,,,,
52,onehot_number_7=0.7539432176656152,0,,,,,,,
73,onehot_number_7=0.4921135646687698,0,,,,,,,
51,onehot_number_7=0.3091482649842271,0,,,,,,,
74,onehot_number_7=0.3438485804416402,0,,,,,,,
76,onehot_number_7=0.8832807570977921,0,,,,,,,
97,onehot_number_7=0.5552050473186124,0,,,,,,,
96,onehot_number_7=0.8738170347003159,0,,,,,,,
95,onehot_number_7=0.7129337539432181,0,,,,,,,
94,onehot_number_7=0.9085173501577288,0,,,,,,,
93,onehot_number_7=0.6435331230283914,0,,,,,,,
92,onehot_number_7=0.6782334384858044,0,,,,,,,
91,onehot_number_7=0.6214511041009465,0,,,,,,,
90,onehot_number_7=0.3911671924290221,0,,,,,,,
89,onehot_number_7=0.5930599369085175,0,,,,,,,
88,onehot_number_7=0.9873817034700318,0,,,,,,,
87,onehot_number_7=0.5110410094637226,0,,,,,,,
86,onehot_number_7=0.42271293375394303,0,,,,,,,
85,onehot_number_7=0.6750788643533124,0,,,,,,,
84,onehot_number_7=0.7476340694006312,0,,,,,,,
83,onehot_number_7=0.36593059936908506,0,,,,,,,
82,onehot_number_7=0.3880126182965299,0,,,,,,,
81,onehot_number_7=0.4416403785488959,0,,,,,,,
80,onehot_number_7=0.8075709779179812,0,,,,,,,
79,onehot_number_7=0.3848580441640379,0,,,,,,,
78,onehot_number_7=0.5678233438485806,0,,,,,,,
77,onehot_number_7=0.20504731861198727,0,,,,,,,
75,onehot_number_7=0.2365930599369086,0,,,,,,,
50,onehot_number_7=0.6656151419558363,0,,,,,,,
99,onehot_number_7=0.35331230283911685,0,,,,,,,
48,onehot_number_7=0.7066246056782335,0,,,,,,,
29,onehot_number_7=1.0,0,,,,,,,
28,onehot_number_7=0.9936908517350159,0,,,,,,,
27,onehot_number_7=0.9810725552050478,0,,,,,,,
26,onehot_number_4=0.0008844128215955637,0,,,,,,,
25,onehot_number_4=0.003983841538718959,0,,,,,,,
98,onehot_number_7=0.7255520504731863,0,,,,,,,
30,onehot_number_7=0.9842271293375398,0,,,,,,,
23,onehot_number_4=0.008405905646696956,0,,,,,,,
21,onehot_number_4=0.19520823539722884,0,,,,,,,
20,onehot_number_4=0.004868254360314525,0,,,,,,,
19,onehot_number_4=0.39262351900690795,0,,,,,,,
18,onehot_number_4=0.19896898180977945,0,,,,,,,
17,onehot_number_4=0.19476204514489232,0,,,,,,,
16,onehot_number_4=0.001234990877002829,0,,,,,,,
22,onehot_number_4=0.00663708000350574,0,,,,,,,
31,onehot_number_7=0.7034700315457414,0,,,,,,,
24,onehot_number_4=0.0,0,,,,,,,
33,onehot_number_7=0.5520504731861198,0,,,,,,,
47,onehot_number_7=0.4353312302839118,0,,,,,,,
46,onehot_number_7=0.30283911671924296,0,,,,,,,
45,onehot_number_7=0.971608832807571,0,,,,,,,
44,onehot_number_7=0.9022082018927448,0,,,,,,,
43,onehot_number_7=0.914826498422713,0,,,,,,,
42,onehot_number_7=0.5615141955835965,0,,,,,,,
32,onehot_number_7=0.3123028391167194,0,,,,,,,
41,onehot_number_7=0.2996845425867509,0,,,,,,,
39,onehot_number_7=0.9905362776025238,0,,,,,,,
38,onehot_number_7=0.31545741324921145,0,,,,,,,
37,onehot_number_7=0.6277602523659306,0,,,,,,,
36,onehot_number_7=0.5362776025236595,0,,,,,,,
35,onehot_number_7=0.2082018927444796,0,,,,,,,
34,onehot_number_7=0.7854889589905363,0,,,,,,,
40,onehot_number_7=0.6151419558359624,0,,,,,,,
7,number_13,1,0.17476359927470753,0.0,0.06336222081228572,0.0,0.06336222081228572,0.0,0.0
15,onehot_number_5=0.3636363636363637,1,,,,,,,
8,number_15,2,0.17476359927470755,0.0,-0.25322483372154847,0.0,0.25322483372154847,0.0,0.0
11,number_37,6,0.12392529181258786,0.0,2.640567385824087,0.0,2.640567385824087,0.0,2.744615498130017
10,number_30,7,0.13938987229495892,0.0,3.2902689773632634,0.0,3.2902689773632634,0.0,3.351307922846928
6,number_12,10,0.17615394417181926,0.0,0.8573057527360505,0.0,1.0512005915067073,0.0,0.4736881499441078
9,number_16,12,0.17476359927470753,0.0,1.5715492899474692,0.0,1.5726471392275372,0.0,1.4994345145527888
13,number_month_datetime_0,14,1.7239256610259777,-0.7026341278561786,0.45992424402589904,0.7737971131968803,0.5526628465011357,0.0,0.0
0,number_0,14,0.07327594317765151,-0.1344879623500804,0.14176037488624854,0.26043325125679245,0.2175915361657458,0.0,0.0
4,number_4,16,0.08563833126739812,-0.28216947956335686,0.4308152072918545,0.3988265393050758,0.6436049723724402,0.029558951041806836,0.0575872329560525
2,number_2,19,0.10718043028547894,-0.6127071946567367,0.2693485270268238,0.7742742591542922,0.4874574271557153,0.22212255778816825,0.1277738538237156
3,number_3,25,0.08313244339738313,0.5124885666731638,-0.1327764447777013,1.0903470725922033,0.6878083872723872,0.49071725488640183,0.3902454713913457
1,number_1,27,0.06370142957269312,0.3540658173219925,-0.445859831801384,0.5935876953458952,0.5871925770329552,0.306341665584295,0.29868340195566745
12,number_weekday_datetime_0,30,1.0017024352631674,3.664423261772014,-4.039074734216548,3.664423261772014,4.041134650372391,0.0,0.0
14,number_day_datetime_0,34,4.39812350166499,-0.9019134994563224,0.8993867787155035,1.230787029804304,1.2264513447926522,0.46510747893673354,0.46011407216250433
5,number_6,34,0.11259897107014358,1.427998420075133,-2.4455355413918487,1.4981565202217908,2.4927732429574943,0.680157062722863,1.2923734879345794
